Main food description (Portions and Weights),Portion description,WWEIA Category description (Portions and Weights),Portion weight (g),Food code
"Non-dairy milk, NFS",Guideline amount per fl oz of beverage,Plant-based milk,"2,5",11300100
"Non-dairy milk, NFS",Guideline amount per cup of hot cereal,Plant-based milk,61,11300100
"Non-dairy milk, NFS",Quantity not specified,Plant-based milk,244,11300100
"Soy milk, sweetened",1 cup,Plant-based milk,244,11320000
"Soy milk, sweetened",1 fl oz,Plant-based milk,"30,5",11320000
"Soy milk, sweetened",Guideline amount per fl oz of beverage,Plant-based milk,"2,5",11320000
"Soy milk, sweetened",Guideline amount per cup of hot cereal,Plant-based milk,61,11320000
"Soy milk, sweetened",Quantity not specified,Plant-based milk,244,11320000
"Soy milk, unsweetened",1 cup,Plant-based milk,244,11320100
"Soy milk, unsweetened",1 fl oz,Plant-based milk,"30,5",11320100
"Soy milk, unsweetened",Guideline amount per fl oz of beverage,Plant-based milk,"2,5",11320100
"Soy milk, unsweetened",Guideline amount per cup of hot cereal,Plant-based milk,61,11320100
"Soy milk, unsweetened",Quantity not specified,Plant-based milk,244,11320100
"Soy milk, chocolate",1 cup,Plant-based milk,244,11321000
"Soy milk, chocolate",1 fl oz,Plant-based milk,"30,5",11321000
"Soy milk, chocolate",Quantity not specified,Plant-based milk,244,11321000
"Almond milk, sweetened",1 cup,Plant-based milk,244,11350000
"Almond milk, sweetened",1 fl oz,Plant-based milk,"30,5",11350000
"Almond milk, sweetened",Guideline amount per fl oz of beverage,Plant-based milk,"2,5",11350000
"Almond milk, sweetened",Guideline amount per cup of hot cereal,Plant-based milk,61,11350000
"Almond milk, sweetened",Quantity not specified,Plant-based milk,244,11350000
"Almond milk, chocolate",1 cup,Plant-based milk,244,11350010
"Almond milk, chocolate",1 fl oz,Plant-based milk,"30,5",11350010
"Almond milk, chocolate",Quantity not specified,Plant-based milk,244,11350010
"Almond milk, unsweetened",1 cup,Plant-based milk,244,11350020
"Almond milk, unsweetened",1 fl oz,Plant-based milk,"30,5",11350020
"Almond milk, unsweetened",Guideline amount per fl oz of beverage,Plant-based milk,"2,5",11350020
"Almond milk, unsweetened",Guideline amount per cup of hot cereal,Plant-based milk,61,11350020
"Almond milk, unsweetened",Quantity not specified,Plant-based milk,244,11350020
"Almond milk, NFS",1 cup,Plant-based milk,244,11350040
"Almond milk, NFS",1 fl oz,Plant-based milk,"30,5",11350040
"Almond milk, NFS",Guideline amount per fl oz of beverage,Plant-based milk,"2,5",11350040
"Almond milk, NFS",Guideline amount per cup of hot cereal,Plant-based milk,61,11350040
"Almond milk, NFS",Quantity not specified,Plant-based milk,244,11350040
Rice milk,1 cup,Plant-based milk,244,11360000
Rice milk,1 fl oz,Plant-based milk,"30,5",11360000
Rice milk,Guideline amount per fl oz of beverage,Plant-based milk,"2,5",11360000
Rice milk,Guideline amount per cup of hot cereal,Plant-based milk,61,11360000
Rice milk,Quantity not specified,Plant-based milk,244,11360000
Oat milk,1 cup,Plant-based milk,244,11360200
Oat milk,1 fl oz,Plant-based milk,"30,5",11360200
Oat milk,Guideline amount per fl oz of beverage,Plant-based milk,"2,5",11360200
Oat milk,Guideline amount per cup of hot cereal,Plant-based milk,61,11360200
Oat milk,Quantity not specified,Plant-based milk,244,11360200
Coconut milk,1 cup,Plant-based milk,244,11370000
Coconut milk,1 fl oz,Plant-based milk,"30,5",11370000
Coconut milk,Guideline amount per fl oz of beverage,Plant-based milk,"2,5",11370000
Coconut milk,Guideline amount per cup of hot cereal,Plant-based milk,61,11370000
Coconut milk,Quantity not specified,Plant-based milk,244,11370000
"Yogurt, NFS",1 4 oz container,"Yogurt, regular",113,11400000
"Yogurt, NFS",1 6 oz container,"Yogurt, regular",170,11400000
"Yogurt, NFS","1 container, NFS","Yogurt, regular",170,11400000
"Yogurt, NFS",1 cup,"Yogurt, regular",245,11400000
"Yogurt, NFS",Quantity not specified,"Yogurt, regular",170,11400000
"Yogurt, Greek, NS as to type of milk or flavor",1 5.3 oz container,"Yogurt, Greek",150,11400010
"Yogurt, Greek, NS as to type of milk or flavor",1 6 oz container,"Yogurt, Greek",170,11400010
"Yogurt, Greek, NS as to type of milk or flavor","1 container, NFS","Yogurt, Greek",150,11400010
