Main food description (Portions and Weights),Portion description,WWEIA Category description (Portions and Weights),Portion weight (g),Food code
"Egg salad, made with mayonnaise",1 extra large egg,Eggs and omelets,82,26139180
"Egg salad, made with light mayonnaise",1 extra large egg,Eggs and omelets,82,26141110
"Egg salad, made with mayonnaise-type salad dressing",1 extra large egg,Eggs and omelets,82,26141120
"Egg salad, made with light mayonnaise-type salad dressing",1 extra large egg,Eggs and omelets,82,26141121
"Egg salad, made with creamy dressing",1 extra large egg,Eggs and omelets,82,26141130
"Egg salad, made with light creamy dressing",1 extra large egg,Eggs and omelets,82,26141140
"Egg salad, made with Italian dressing",1 extra large egg,Eggs and omelets,82,26141160
"Egg salad, made with light Italian dressing",1 extra large egg,Eggs and omelets,82,26143110
"Egg Salad, made with any type of fat free dressing",1 extra large egg,Eggs and omelets,82,26149110
"Egg casserole with bread, cheese, milk and meat",Quantity not specified,Eggs and omelets,82,42402010
"Egg white, omelet, scrambled, or fried, with cheese",Quantity not specified,Eggs and omelets,82,26117120
"Egg white, omelet, scrambled, or fried, with meat",Quantity not specified,Eggs and omelets,92,26117121
"Egg white, omelet, scrambled, or fried, with vegetables",Quantity not specified,Eggs and omelets,92,26117130
"Egg omelet or scrambled egg, made with cooking spray",Quantity not specified,Eggs and omelets,100,26121121
"Egg omelet or scrambled egg, no added fat",Quantity not specified,Eggs and omelets,100,26121131
"Egg white, omelet, scrambled, or fried, with cheese and meat",Quantity not specified,Eggs and omelets,102,26121140
"Egg white, omelet, scrambled, or fried, with cheese and vegetables",Quantity not specified,Eggs and omelets,102,26121180
"Egg omelet or scrambled egg, NS as to fat",Quantity not specified,Eggs and omelets,110,26131120
"Egg omelet or scrambled egg, made with margarine",Quantity not specified,Eggs and omelets,110,26131121
"Egg omelet or scrambled egg, made with oil",Quantity not specified,Eggs and omelets,110,26131130
"Egg omelet or scrambled egg, made with butter",Quantity not specified,Eggs and omelets,110,26131140
"Egg omelet or scrambled egg, made with animal fat or meat drippings",Quantity not specified,Eggs and omelets,110,26131160
"Egg omelet or scrambled egg, NS as to fat type",Quantity not specified,Eggs and omelets,110,26133110
"Egg omelet or scrambled egg, from fast food / restaurant",Quantity not specified,Eggs and omelets,110,26137100
"Egg substitute, omelet, scrambled, or fried, fat added",Quantity not specified,Eggs and omelets,110,27111300
"Egg substitute, omelet, scrambled, or fried, no added fat",Quantity not specified,Eggs and omelets,110,27111400
"Egg substitute, omelet, scrambled, or fried, with cheese",Quantity not specified,Eggs and omelets,110,27111405
"Egg substitute, omelet, scrambled, or fried, with meat",Quantity not specified,Eggs and omelets,110,27111406
"Egg substitute, omelet, scrambled, or fried, with vegetables",Quantity not specified,Eggs and omelets,110,27111407
"Egg substitute, omelet, scrambled, or fried, with cheese and meat",Quantity not specified,Eggs and omelets,110,27111420
"Egg substitute, omelet, scrambled, or fried, with cheese and vegetables",Quantity not specified,Eggs and omelets,110,27111500
"Egg substitute, omelet, scrambled, or fried, with meat and vegetables",Quantity not specified,Eggs and omelets,110,27112000
"Egg substitute, omelet, scrambled, or fried, with cheese, meat, and vegetables",Quantity not specified,Eggs and omelets,110,27112010
"Egg white, omelet, scrambled, or fried, with meat and vegetables",Quantity not specified,Eggs and omelets,112,26137110
"Egg omelet or scrambled egg, with cheese, made with cooking spray",Quantity not specified,Eggs and omelets,120,26137120
"Egg omelet or scrambled egg, with cheese, no added fat",Quantity not specified,Eggs and omelets,120,26137123
"Egg white, omelet, scrambled, or fried, with cheese, meat, and vegetables",Quantity not specified,Eggs and omelets,122,26137130
"Egg omelet or scrambled egg, with cheese, made with margarine",Quantity not specified,Eggs and omelets,130,26137140
"Egg omelet or scrambled egg, with cheese, made with oil",Quantity not specified,Eggs and omelets,130,26137160
"Egg omelet or scrambled egg, with cheese, made with butter",Quantity not specified,Eggs and omelets,130,26137180
"Egg omelet or scrambled egg, with cheese, made with animal fat or meat drippings",Quantity not specified,Eggs and omelets,130,26137190
"Egg omelet or scrambled egg, with meat, made with cooking spray",Quantity not specified,Eggs and omelets,140,26151120
"Egg omelet or scrambled egg, with meat, no added fat",Quantity not specified,Eggs and omelets,140,26151123
"Egg omelet or scrambled egg, with tomatoes, no added fat",Quantity not specified,Eggs and omelets,140,26151130
"Egg omelet or scrambled egg, with dark-green vegetables, no added fat",Quantity not specified,Eggs and omelets,140,26151140
"Egg omelet or scrambled egg, with tomatoes and dark-green vegetables, no fat added",Quantity not specified,Eggs and omelets,140,26151160
"Egg omelet or scrambled egg, with vegetables other than dark green and/or tomatoes, no added fat",Quantity not specified,Eggs and omelets,140,26153100
"Egg omelet or scrambled egg, with potatoes and/or onions, no added fat",Quantity not specified,Eggs and omelets,140,26153110
"Egg, creamed",Quantity not specified,Eggs and omelets,145,27113100
"Egg omelet or scrambled egg, with meat, NS as to fat",Quantity not specified,Eggs and omelets,150,26153120
"Egg omelet or scrambled egg, with meat, made with margarine",Quantity not specified,Eggs and omelets,150,26155110
"Egg omelet or scrambled egg, with meat, made with oil",Quantity not specified,Eggs and omelets,150,26157110
"Egg omelet or scrambled egg, with meat, made with butter",Quantity not specified,Eggs and omelets,150,26157120
"Egg omelet or scrambled egg, with meat, made with animal fat or meat drippings",Quantity not specified,Eggs and omelets,150,26157123
"Egg omelet or scrambled egg, with meat, NS as to fat type",Quantity not specified,Eggs and omelets,150,26157130
"Egg omelet or scrambled egg, with tomatoes, fat added",Quantity not specified,Eggs and omelets,150,26157140
"Egg omelet or scrambled egg, with tomatoes, NS as to fat",Quantity not specified,Eggs and omelets,150,26157160
"Egg omelet or scrambled egg, with dark-green vegetables, fat added",Quantity not specified,Eggs and omelets,150,26158000
"Egg omelet or scrambled egg, with dark-green vegetables, NS as to fat",Quantity not specified,Eggs and omelets,150,26158010
"Egg omelet or scrambled egg, with tomatoes and dark-green vegetables, fat added",Quantity not specified,Eggs and omelets,150,26158013
"Egg omelet or scrambled egg, with tomatoes and dark-green vegetables, NS as to fat",Quantity not specified,Eggs and omelets,150,26158020
"Egg omelet or scrambled egg, with vegetables other than dark green and/or tomatoes, fat added",Quantity not specified,Eggs and omelets,150,26158030
"Egg omelet or scrambled egg, with vegetables other than dark green and/or tomatoes, NS as to fat",Quantity not specified,Eggs and omelets,150,26158050
"Egg omelet or scrambled egg, with potatoes and/or onions, fat added",Quantity not specified,Eggs and omelets,150,26158100
"Egg omelet or scrambled egg, with potatoes and/or onions, NS as to fat",Quantity not specified,Eggs and omelets,150,26158110
"Egg omelet or scrambled egg, with cheese and meat, made with cooking spray",Quantity not specified,Eggs and omelets,160,26158120
"Egg omelet or scrambled egg, with cheese and meat, no added fat",Quantity not specified,Eggs and omelets,160,26158130
"Egg omelet or scrambled egg, with cheese and tomatoes, no added fat",Quantity not specified,Eggs and omelets,160,26158140
"Egg omelet or scrambled egg, with cheese and dark-green vegetables, no added fat",Quantity not specified,Eggs and omelets,160,26158150
"Egg omelet or scrambled egg, with cheese, tomatoes, and dark-green vegetables, no added fat",Quantity not specified,Eggs and omelets,160,26203110
"Egg omelet or scrambled egg, with cheese and vegetables other than dark green and/or tomatoes, no added fat",Quantity not specified,Eggs and omelets,160,26205110
"Egg omelet or scrambled egg, with cheese and meat, NS as to fat",Quantity not specified,Eggs and omelets,170,26211100
"Egg omelet or scrambled egg, with cheese and meat, made with margarine",Quantity not specified,Eggs and omelets,170,26213120
"Egg omelet or scrambled egg, with cheese and meat, made with oil",Quantity not specified,Eggs and omelets,170,26213140
"Egg omelet or scrambled egg, with cheese and meat, made with butter",Quantity not specified,Eggs and omelets,170,26215120
"Egg omelet or scrambled egg, with cheese and meat, made with animal fat or meat drippings",Quantity not specified,Eggs and omelets,170,26300000
"Egg omelet or scrambled egg, with cheese and meat, NS as to fat type",Quantity not specified,Eggs and omelets,170,26301110
"Egg omelet or scrambled egg, with cheese and tomatoes, fat added",Quantity not specified,Eggs and omelets,170,26303100
"Egg omelet or scrambled egg, with cheese and tomatoes, NS as to fat",Quantity not specified,Eggs and omelets,170,26303110
"Egg omelet or scrambled egg, with cheese and dark-green vegetables, fat added",Quantity not specified,Eggs and omelets,170,26303120
"Egg omelet or scrambled egg, with cheese and dark-green vegetables, NS as to fat",Quantity not specified,Eggs and omelets,170,26303140
"Egg omelet or scrambled egg, with cheese, tomatoes, and dark-green vegetables, fat added",Quantity not specified,Eggs and omelets,170,26303160
"Egg omelet or scrambled egg, with cheese, tomatoes, and dark-green vegetables, NS as to fat",Quantity not specified,Eggs and omelets,170,26303180
"Egg omelet or scrambled egg, with cheese and vegetables other than dark green and/or tomatoes, fat added",Quantity not specified,Eggs and omelets,170,26305160
"Egg omelet or scrambled egg, with cheese and vegetables other than dark green and/or tomatoes, NS as to fat",Quantity not specified,Eggs and omelets,170,26305180
"Egg omelet or scrambled egg, with meat and tomatoes, no added fat",Quantity not specified,Eggs and omelets,180,26307140
"Egg omelet or scrambled egg, with meat and dark-green vegetables, no added fat",Quantity not specified,Eggs and omelets,180,26309140
"Egg omelet or scrambled egg, with meat, tomatoes, and dark-green vegetables, no added fat",Quantity not specified,Eggs and omelets,180,26309160
"Egg omelet or scrambled egg, with meat and vegetables other than dark-green and/or tomatoes, no added fat",Quantity not specified,Eggs and omelets,180,26311110
"Egg omelet or scrambled egg, with meat and tomatoes, fat added",Quantity not specified,Eggs and omelets,190,26315100
"Egg omelet or scrambled egg, with meat and tomatoes, NS as to fat",Quantity not specified,Eggs and omelets,190,26315120
"Egg omelet or scrambled egg, with meat and dark-green vegetables, fat added",Quantity not specified,Eggs and omelets,190,26315130
"Egg omelet or scrambled egg, with meat and dark-green vegetables, NS as to fat",Quantity not specified,Eggs and omelets,190,26315140
"Egg omelet or scrambled egg, with meat, tomatoes, and dark-green vegetables, fat added",Quantity not specified,Eggs and omelets,190,26315180
"Egg omelet or scrambled egg, with meat, tomatoes, and dark-green vegetables, NS as to fat",Quantity not specified,Eggs and omelets,190,26317120
"Egg omelet or scrambled egg, with meat and vegetables other than dark-green and/or tomatoes, fat added",Quantity not specified,Eggs and omelets,190,26317121
"Egg omelet or scrambled egg, with meat and vegetables other than dark-green and/or tomatoes, NS as to fat",Quantity not specified,Eggs and omelets,190,26317130
"Egg omelet or scrambled egg, with cheese, meat, and tomatoes, no added fat",Quantity not specified,Eggs and omelets,200,26317140
"Egg omelet or scrambled egg, with cheese, meat, and dark-green vegetables, no added fat",Quantity not specified,Eggs and omelets,200,26319110
"Egg omelet or scrambled egg, with cheese, meat, tomatoes, and dark-green vegetables, no added fat",Quantity not specified,Eggs and omelets,200,26319120
"Egg omelet or scrambled egg, with cheese, meat, and vegetables other than dark-green and/or tomatoes, no added fat",Quantity not specified,Eggs and omelets,200,26319123
"Egg omelet or scrambled egg, with cheese, meat, and tomatoes, fat added",Quantity not specified,Eggs and omelets,210,26319130
"Egg omelet or scrambled egg, with cheese, meat, and tomatoes, NS as to fat",Quantity not specified,Eggs and omelets,210,26319140
"Egg omelet or scrambled egg, with cheese, meat, and dark-green vegetables, fat added",Quantity not specified,Eggs and omelets,210,26319160
"Egg omelet or scrambled egg, with cheese, meat, and dark-green vegetables, NS as to fat",Quantity not specified,Eggs and omelets,210,26319170
"Egg omelet or scrambled egg, with cheese, meat, tomatoes, and dark-green vegetables, fat added",Quantity not specified,Eggs and omelets,210,26319180
"Egg omelet or scrambled egg, with cheese, meat, tomatoes, and dark-green vegetables, NS as to fat",Quantity not specified,Eggs and omelets,210,26321110
"Egg omelet or scrambled egg, with cheese, meat, and vegetables other than dark-green and/or tomatoes, fat added",Quantity not specified,Eggs and omelets,210,27100100
"Egg omelet or scrambled egg, with cheese, meat, and vegetables other than dark-green and/or tomatoes, NS as to fat",Quantity not specified,Eggs and omelets,210,27111000
Huevos rancheros,Quantity not specified,Eggs and omelets,236,27111200
"Pepperoni, NFS",1 slice,Cold cuts and cured meats,2,32130190
"Pepperoni, reduced fat",1 slice,Cold cuts and cured meats,2,32130210
"Pepperoni, reduced sodium",1 slice,Cold cuts and cured meats,2,32130220
Beef jerky,1 Big Jerk,Cold cuts and cured meats,"6,7",32400070
"Beef, corned",1 cubic inch,Cold cuts and cured meats,17,32130040
"Ham, canned",1 oz yields,Cold cuts and cured meats,20,32400055
"Beef, dried, chipped, cooked in fat","1 oz, yield after cooking",Cold cuts and cured meats,27,32130020
"Canadian bacon, cooked","1 oz, cooked",Cold cuts and cured meats,"28,35",27120040
"Meat spread or potted meat, NFS",Quantity not specified,Cold cuts and cured meats,42,32400080
Chicken salad spread,Quantity not specified,Cold cuts and cured meats,42,32400078
Ham salad spread,Quantity not specified,Cold cuts and cured meats,42,32130240
Venison/deer jerky,Quantity not specified,Cold cuts and cured meats,47,42401100
"Ham, prosciutto",1 cup,Cold cuts and cured meats,56,41420380
Bologna,Guideline amount on regular sandwich,Cold cuts and cured meats,56,27250520
"Bologna, reduced fat",Guideline amount on regular sandwich,Cold cuts and cured meats,56,27150140
"Bologna, reduced sodium",Guideline amount on regular sandwich,Cold cuts and cured meats,56,27150230
"Pastrami, NFS",Guideline amount on regular sandwich,Cold cuts and cured meats,56,31101010
"Pastrami, made from any kind of meat, reduced fat",Guideline amount on regular sandwich,Cold cuts and cured meats,56,31102000
"Salami, NFS",Guideline amount on regular sandwich,Cold cuts and cured meats,56,31106000
"Salami, made from any type of meat, reduced fat",Guideline amount on regular sandwich,Cold cuts and cured meats,56,31106010
"Salami, made from any type of meat, reduced sodium",Guideline amount on regular sandwich,Cold cuts and cured meats,56,31107000
"Luncheon meat, NFS",Guideline amount on regular sandwich,Cold cuts and cured meats,56,31108010
"Ham, prepackaged or deli, luncheon meat",Guideline amount on regular sandwich,Cold cuts and cured meats,56,31110010
"Ham, prepackaged or deli, luncheon meat, reduced sodium",Guideline amount on regular sandwich,Cold cuts and cured meats,56,31111000
"Chicken, prepackaged or deli, luncheon meat",Guideline amount on regular sandwich,Cold cuts and cured meats,56,31111010
"Chicken, prepackaged or deli, luncheon meat, reduced sodium",Guideline amount on regular sandwich,Cold cuts and cured meats,56,31201000
"Ham luncheon meat, loaf type",Guideline amount on regular sandwich,Cold cuts and cured meats,56,31202000
Spam,Guideline amount on regular sandwich,Cold cuts and cured meats,56,32130120
"Spam, reduced sodium",Guideline amount on regular sandwich,Cold cuts and cured meats,56,32130140
Liverwurst,Guideline amount on regular sandwich,Cold cuts and cured meats,56,31203000
"Luncheon meat, loaf type",Guideline amount on regular sandwich,Cold cuts and cured meats,56,32101000
"Turkey, prepackaged or deli, luncheon meat",Guideline amount on regular sandwich,Cold cuts and cured meats,56,32101500
"Turkey, prepackaged or deli, luncheon meat, reduced sodium",Guideline amount on regular sandwich,Cold cuts and cured meats,56,32102000
"Turkey ham, prepackaged or deli, luncheon meat",Guideline amount on regular sandwich,Cold cuts and cured meats,56,32105180
"Beef, prepackaged or deli, luncheon meat",Guideline amount on regular sandwich,Cold cuts and cured meats,56,32105190
"Beef, prepackaged or deli, luncheon meat, reduced sodium",Guideline amount on regular sandwich,Cold cuts and cured meats,56,32129990
"Beef, dried, chipped, uncooked",1 jar (2.5 oz),Cold cuts and cured meats,71,32130010
"Ham, ground",1 cup,Cold cuts and cured meats,125,32400065
Pork jerky,"1 cup, pieces",Cold cuts and cured meats,126,27116210
Venison sausage,1 cup,Cold cuts and cured meats,135,32130070
"Beef, bacon, cooked","1 slice, cooked (approx .8 oz, raw)",Bacon,"6,5",32400600
"Beef, bacon, reduced sodium, cooked","1 slice, cooked (approx .8 oz, raw)",Bacon,"6,5",32400700
"Turkey bacon, cooked",1 thin slice (yield after cooking),Bacon,8,32400200
"Turkey bacon, reduced sodium, cooked",1 thin slice (yield after cooking),Bacon,8,32400400
"Bacon, NS as to type of meat, cooked",1 thick slice (yield after cooking),Bacon,12,32130265
"Bacon, NS as to type of meat, reduced sodium, cooked",1 thick slice (yield after cooking),Bacon,12,32130270
"Pork bacon, NS as to fresh, smoked or cured, cooked",1 thick slice (yield after cooking),Bacon,12,32130290
"Pork bacon, NS as to fresh, smoked or cured, reduced sodium, cooked",1 thick slice (yield after cooking),Bacon,12,32130310
"Pork bacon, smoked or cured, cooked",1 thick slice (yield after cooking),Bacon,12,32130320
"Pork bacon, smoked or cured, reduced sodium, cooked",1 thick slice (yield after cooking),Bacon,12,32130340
"Bacon or side pork, fresh, cooked",Quantity not specified,Bacon,16,32130370
"Hot dog, NFS",1 bun length/jumbo,Frankfurters,57,32400300
"Hot dog, beef",1 bun length/jumbo,Frankfurters,57,32400500
"Hot dog, meat and poultry",1 bun length/jumbo,Frankfurters,57,31108100
"Hot dog, reduced fat",1 bun length/jumbo,Frankfurters,57,31108110
"Hot dog, turkey",1 bun length/jumbo,Frankfurters,57,31108120
Thuringer,"1 slice (2-7/8"" dia x 1/16"" thick)",Sausages,8,32130640
"Bratwurst, with cheese",1 cubic inch,Sausages,15,32130630
Blood sausage,1 cubic inch,Sausages,18,32130440
Beef sausage,1 breakfast size link,Sausages,20,32130670
Chorizo,1 breakfast size link,Sausages,20,32130680
Polish sausage,1 breakfast size link,Sausages,20,32130840
Italian sausage,1 breakfast size link,Sausages,20,32130850
"Sausage, NFS",1 breakfast size link,Sausages,20,32130870
Pork sausage,1 breakfast size link,Sausages,20,32130880
"Pork sausage, reduced fat",1 breakfast size link,Sausages,20,32131040
"Pork sausage, reduced sodium",1 breakfast size link,Sausages,20,32131050
Pork and beef sausage,1 breakfast size link,Sausages,20,32131070
"Turkey or chicken sausage, reduced sodium",1 breakfast size link,Sausages,20,32130430
"Scrapple, cooked","1 oz, raw (yield after cooking)",Sausages,25,32130480
Bratwurst,Quantity not specified,Sausages,60,32130460
Knockwurst,Quantity not specified,Sausages,60,91304040
Turkey or chicken sausage,1 bun-size or griller link,Sausages,75,32131080
"Chickpeas, from dried, fat added",1 pea,"Beans, peas, legumes",2,32130620
"Chickpeas, from dried, no added fat",1 pea,"Beans, peas, legumes",2,33001050
Soy nuts,1 medium single serving bag,"Beans, peas, legumes",57,32131030
"Edamame, cooked",Quantity not specified,"Beans, peas, legumes",80,32130830
"Beans, from dried, NS as to type, no added fat",Quantity not specified,"Beans, peas, legumes",90,32103015
"White beans, from dried, no added fat",Quantity not specified,"Beans, peas, legumes",90,32103025
"Black beans, from dried, no added fat",Quantity not specified,"Beans, peas, legumes",90,33001010
"Pinto beans, from dried, no added fat",Quantity not specified,"Beans, peas, legumes",90,33401100
"Kidney beans, from dried, no added fat",Quantity not specified,"Beans, peas, legumes",90,33401200
"Chickpeas, from canned, no added fat",Quantity not specified,"Beans, peas, legumes",90,33401600
"Split peas, from dried, no added fat",Quantity not specified,"Beans, peas, legumes",90,33401000
"Lentils, from dried, no added fat",Quantity not specified,"Beans, peas, legumes",90,32103050
"Beans, from dried, NS as to type, fat added",Quantity not specified,"Beans, peas, legumes",92,32130060
"White beans, from dried, fat added",Quantity not specified,"Beans, peas, legumes",92,32130260
"Black beans, from dried, fat added",Quantity not specified,"Beans, peas, legumes",92,32400060
"Fava beans, cooked",Quantity not specified,"Beans, peas, legumes",92,31105020
"Lima beans, from dried",Quantity not specified,"Beans, peas, legumes",92,31106020
"Pink beans, cooked",Quantity not specified,"Beans, peas, legumes",92,31111020
"Pinto beans, from dried, fat added",Quantity not specified,"Beans, peas, legumes",92,32103000
"Kidney beans, from dried, fat added",Quantity not specified,"Beans, peas, legumes",92,31105040
"Peruvian beans, from dried",Quantity not specified,"Beans, peas, legumes",92,31105090
"Soybeans, cooked",Quantity not specified,"Beans, peas, legumes",92,32130410
"Mung beans, cooked",Quantity not specified,"Beans, peas, legumes",92,32130420
"Blackeyed peas, from dried",Quantity not specified,"Beans, peas, legumes",92,32130510
"Chickpeas, NFS",Quantity not specified,"Beans, peas, legumes",92,32130610
"Chickpeas, from canned, fat added",Quantity not specified,"Beans, peas, legumes",92,32130700
"Chickpeas, from canned, reduced sodium",Quantity not specified,"Beans, peas, legumes",92,32130710
"Split peas, from dried, fat added",Quantity not specified,"Beans, peas, legumes",92,32130810
"Lentils, from dried, fat added",Quantity not specified,"Beans, peas, legumes",92,32130900
"Peanuts, NFS","1 peanut, NFS",Nuts and seeds,1,41201020
"Peanuts, unroasted","1 peanut, NFS",Nuts and seeds,1,41201050
"Peanuts, roasted, salted","1 peanut, NFS",Nuts and seeds,1,41205017
"Peanuts, roasted, unsalted","1 peanut, NFS",Nuts and seeds,1,41205030
"Peanuts, dry roasted, salted","1 peanut, NFS",Nuts and seeds,1,41206030
"Peanuts, dry roasted, lightly salted","1 peanut, NFS",Nuts and seeds,1,41208030
"Peanuts, dry roasted, unsalted","1 peanut, NFS",Nuts and seeds,1,41304000
Peanut butter,Guideline amount per slice of bread/roll,Nuts and seeds,16,41302020
"Peanut butter, lower sodium",Guideline amount per slice of bread/roll,Nuts and seeds,16,41302040
"Nuts, NFS",1 100 calorie package,Nuts and seeds,18,41311000
"Mixed nuts, unroasted",Quantity not specified,Nuts and seeds,28,41105990
"Mixed nuts, with peanuts, lightly salted",Quantity not specified,Nuts and seeds,28,41106150
"Mixed nuts, with peanuts, unsalted",Quantity not specified,Nuts and seeds,28,41106170
"Mixed nuts, without peanuts, salted",Quantity not specified,Nuts and seeds,28,41106020
"Mixed nuts, without peanuts, unsalted",Quantity not specified,Nuts and seeds,28,41106040
"Trail mix, NFS",Quantity not specified,Nuts and seeds,28,41101010
Trail mix with nuts,Quantity not specified,Nuts and seeds,28,41102010
Trail mix with nuts and fruit,Quantity not specified,Nuts and seeds,28,41302010
Trail mix with chocolate,Quantity not specified,Nuts and seeds,28,41303010
"Trail mix with pretzels, cereal, or granola",Quantity not specified,Nuts and seeds,28,41304990
Tahini,Quantity not specified,Nuts and seeds,28,41303000
Chestnuts,1 oz,Nuts and seeds,"28,35",41102020
"Peanuts, honey roasted",1 oz,Nuts and seeds,"28,35",41102170
Almond butter,Guideline amount per sandwich,Nuts and seeds,32,41305000
"Almond butter, lower sodium",Guideline amount per sandwich,Nuts and seeds,32,41301990
Cashew butter,Guideline amount per sandwich,Nuts and seeds,32,41302080
"Peanut butter, lower sodium and lower sugar",Guideline amount per sandwich,Nuts and seeds,32,41302110
"Peanut butter, lower sugar",Guideline amount per sandwich,Nuts and seeds,32,41101180
"Peanut butter, reduced fat",Guideline amount per sandwich,Nuts and seeds,32,41101120
"Peanut butter, vitamin and mineral fortified",Guideline amount per sandwich,Nuts and seeds,32,41101140
Peanut butter and jelly,Guideline amount per sandwich,Nuts and seeds,32,41101110
Peanut butter and chocolate spread,Guideline amount per sandwich,Nuts and seeds,32,41101210
"Pumpkin seeds, NFS","1 cup, NFS",Nuts and seeds,46,41106110
"Pumpkin seeds, salted","1 cup, NFS",Nuts and seeds,46,41205040
"Pumpkin seeds, unsalted","1 cup, NFS",Nuts and seeds,46,41420020
"Sunflower seeds, plain, unsalted","1 cup, NFS",Nuts and seeds,46,41305020
"Sunflower seeds, plain, salted","1 cup, NFS",Nuts and seeds,46,41102110
"Sunflower seeds, flavored","1 cup, NFS",Nuts and seeds,46,41103070
"Sunflower seeds, NFS","1 cup, NFS",Nuts and seeds,46,41107010
"Almonds, NFS",1 package,Nuts and seeds,50,41304970
"Almonds, unroasted",1 package,Nuts and seeds,50,41410010
"Almonds, salted",1 package,Nuts and seeds,50,41300990
"Almonds, lightly salted",1 package,Nuts and seeds,50,41301010
"Almonds, unsalted",1 package,Nuts and seeds,50,41202510
"Almonds, flavored",1 package,Nuts and seeds,50,41102210
"Almonds, honey roasted",1 package,Nuts and seeds,50,41102990
"Cashews, NFS",1 package,Nuts and seeds,50,41103010
"Cashews, unroasted",1 package,Nuts and seeds,50,41103990
"Cashews, salted",1 package,Nuts and seeds,50,41104080
"Cashews, lightly salted",1 package,Nuts and seeds,50,41104200
"Cashews, unsalted",1 package,Nuts and seeds,50,41104250
"Cashews, honey roasted",1 package,Nuts and seeds,50,41104020
Hazelnuts,1 package,Nuts and seeds,50,41104040
Macadamia nuts,1 package,Nuts and seeds,50,41101080
"Peanuts, boiled",1 package,Nuts and seeds,50,41104010
"Pecans, NFS",1 package,Nuts and seeds,50,41104110
"Pecans, unroasted",1 package,Nuts and seeds,50,41205010
"Pecans, salted",1 package,Nuts and seeds,50,41221000
"Pecans, unsalted",1 package,Nuts and seeds,50,41201010
"Pecans, honey roasted",1 package,Nuts and seeds,50,41305050
"Walnuts, excluding honey roasted",1 package,Nuts and seeds,50,41202505
"Walnuts, honey roasted",1 package,Nuts and seeds,50,41208100
"Pistachio nuts, NFS","1 cup, in shell, yields",Nuts and seeds,58,41101070
"Pistachio nuts, salted","1 cup, in shell, yields",Nuts and seeds,58,41101990
"Pistachio nuts, lightly salted","1 cup, in shell, yields",Nuts and seeds,58,41102080
"Pistachio nuts, unsalted","1 cup, in shell, yields",Nuts and seeds,58,41102150
"Bacon strip, meatless",Quantity not specified,Soy and meat-alternative products,16,42104000
Soybean curd,1 cubic inch,Soy and meat-alternative products,"17,6",43102300
"Breakfast link, pattie, or slice, meatless",1 slice,Soy and meat-alternative products,28,42111030
Soy nut butter,Guideline amount per sandwich,Soy and meat-alternative products,32,42106000
"Soybean curd, breaded, fried",Quantity not specified,Soy and meat-alternative products,39,42114130
Soybean curd cheese,Quantity not specified,Soy and meat-alternative products,56,42111000
"Luncheon slice, meatless-beef, chicken, salami or turkey",Quantity not specified,Soy and meat-alternative products,56,42104500
"Meatball, meatless",Quantity not specified,Soy and meat-alternative products,57,42110000
"Hot dog, vegetarian",Quantity not specified,Soy and meat-alternative products,70,42114145
"Meat substitute, cereal- and vegetable protein-based, fried",Quantity not specified,Soy and meat-alternative products,73,42500000
"Veggie burger patty, no bun",Quantity not specified,Soy and meat-alternative products,100,42201000
"Textured vegetable protein, dry","1 cup, fine grain",Soy and meat-alternative products,120,42114142
"Chicken, meatless, breaded, fried","1 cup, diced",Soy and meat-alternative products,130,43102000
"Frozen dessert, non-dairy",Quantity not specified,Soy and meat-alternative products,165,43101050
"Pork, chop, stuffed",1 cubic inch,Meat mixed dishes,17,41440000
Beef with mushroom sauce,1 cubic inch,Meat mixed dishes,17,28110310
"Chili, NFS",Guideline amount per cup of french fries,Meat mixed dishes,64,27420270
Ham or pork with tomato-based sauce,1 slice with sauce,Meat mixed dishes,65,27311620
Beef with gravy,1 small patty with gravy,Meat mixed dishes,83,27220080
"Beef, ground, with egg and onion",1 medium patty,Meat mixed dishes,85,41810200
Eggplant and meat casserole,"1 piece (3"" x 2"" x 1"")",Meat mixed dishes,86,27218210
Veal scallopini,Quantity not specified,Meat mixed dishes,105,42501000
Ham croquette,Quantity not specified,Meat mixed dishes,105,43108010
Frankfurters or hot dogs and sauerkraut,Quantity not specified,Meat mixed dishes,110,42200500
Ham or pork with mushroom sauce,1 pork chop with sauce,Meat mixed dishes,115,27220150
"Beef shish kabob with vegetables, excluding potatoes",Quantity not specified,Meat mixed dishes,115,27114000
"Pork shish kabob with vegetables, excluding potatoes",Quantity not specified,Meat mixed dishes,115,27116400
"Lamb shish kabob with vegetables, excluding potatoes",Quantity not specified,Meat mixed dishes,115,27120020
"Antipasto with ham, fish, cheese, vegetables","Quantity not specified, if appetizer",Meat mixed dishes,115,42104100
Ham or pork with gravy,1 pork chop with gravy,Meat mixed dishes,117,27220110
"Meatballs, NS as to type of meat, with sauce",Quantity not specified,Meat mixed dishes,129,27212300
"Meatballs, with breading, NS as to type of meat, with gravy",Quantity not specified,Meat mixed dishes,129,27212400
Porcupine balls with tomato-based sauce,Quantity not specified,Meat mixed dishes,132,42200510
Porcupine balls with mushroom sauce,Quantity not specified,Meat mixed dishes,132,42202010
"Stewed goat, Puerto Rican style",Quantity not specified,Meat mixed dishes,133,42110300
"Stewed pig's feet, Puerto Rican style",Quantity not specified,Meat mixed dishes,138,41810610
Meat loaf made with beef,1 large slice,Meat mixed dishes,144,42101300
